,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
KobeBryant,15946875,17718750,19490625,21262500,23034375,24806250,25244493,27849149,30453805,23500000
JoeJohnson,12000000,12744189,13488377,14232567,14976754,16324500,18038573,19752645,21466718,23180790
LeBronJames,4621800,5828090,13041250,14410581,15779912,14500000,16022500,17545000,19067500,20644400
CarmeloAnthony,3713640,4694041,13041250,14410581,15779912,17149243,18518574,19450000,22407474,22458000
DwightHoward,4493160,4806720,6061274,13758000,15202590,16647180,18091770,19536360,20513178,21436271
ChrisBosh,3348000,4235220,12455000,14410581,15779912,14500000,16022500,17545000,19067500,20644400
ChrisPaul,3144240,3380160,3615960,4574189,13520500,14940153,16359805,17779458,18668431,20068563
KevinDurant,0,0,4171200,4484040,4796880,6053663,15506632,16669630,17832627,18995624
DerrickRose,0,0,0,4822800,5184480,5546160,6993708,16402500,17632688,18862875
DwayneWade,3031920,3841443,13041250,14410581,15779912,14200000,15691000,17182000,18673000,15000000
